budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
4000000,"[{""id"": 27, ""name"": ""Horror""}]",,215,"[{""id"": 483, ""name"": ""riddle""}, {""id"": 10714, ""name"": ""serial killer""}]",en,Saw II,"When a new murder victim is discovered with all the signs of Jigsaw's hand, Detective Eric Matthews begins a full investigation and apprehends Jigsaw with little effort. But for Jigsaw, getting caught is just another part of his plan. Eight more of his victims are already fighting for their lives and now it's time for Matthews to join the game...",42.187986,"[{""name"": ""Lions Gate Films"", ""id"": 35}, {""name"": ""Got Films"", ""id"": 1053}, {""name"": ""Twisted Pictures"", ""id"": 2061}, {""name"": ""Evolution Entertainment"", ""id"": 23019}, {""name"": ""Saw 2 Productions"", ""id"": 64651}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-10-28,152925093,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Oh Yes... There Will Be Blood.,Saw II,6.3,1251
0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",,46435,"[{""id"": 549, ""name"": ""prostitute""}, {""id"": 4344, ""name"": ""musical""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 10904, ""name"": ""telephone call""}, {""id"": 11333, ""name"": ""cigar smoking""}, {""id"": 33719, ""name"": ""drink""}, {""id"": 40831, ""name"": ""\u00a0gilbert and sullivan""}, {""id"": 40832, ""name"": ""gilbert and sullivan's princess ida""}, {""id"": 40837, ""name"": ""piano duet""}, {""id"": 40838, ""name"": ""lyricist""}, {""id"": 40984, ""name"": ""exhibition""}]",en,Topsy-Turvy,"After their production ""Princess Ida"" meets with less-than-stunning reviews, the relationship between Gilbert and Sullivan is strained to breaking. Their friends and associates attempt to get the two to work together again, which opens the way to ""The Mikado,"" one of the duo's greatest successes.",8.628519,"[{""name"": ""Newmarket Capital Group"", ""id"": 506}, {""name"": ""Goldwyn Films"", ""id"": 720}, {""name"": ""The Greenlight Fund"", ""id"": 821}, {""name"": ""Thin Man Films"", ""id"": 10100}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-09-03,0,160.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Released,Gilbert & Sullivan & So Much More,Topsy-Turvy,6.7,41
11000000,"[{""id"": 18, ""name"": ""Drama""}]",,249164,"[{""id"": 732, ""name"": ""coma""}, {""id"": 4048, ""name"": ""musician""}, {""id"": 10809, ""name"": ""teenage girl""}, {""id"": 13063, ""name"": ""car accident""}, {""id"": 13130, ""name"": ""teenager""}, {""id"": 184318, ""name"": ""out of body experience""}, {""id"": 193400, ""name"": ""teen drama""}, {""id"": 223438, ""name"": ""based on young adult novel""}]",en,If I Stay,"Based on Gayle Forman's novel of the same name. ""If I Stay"" is the story of the gifted classical musician Mia and her boyfriend, Adam, an up and coming indie-rock star. Torn between two paths in life, her art or her relationship, Mia is forced to make an even starker choice between life and death when she is caught in a fatal car accident with her family one snowy morning in Oregon.",31.162838,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-08-21,78874843,106.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Live for Love.,If I Stay,7.3,1368
35000000,"[{""id"": 10752, ""name"": ""War""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,11876,"[{""id"": 924, ""name"": ""italian""}, {""id"": 1605, ""name"": ""new love""}, {""id"": 1649, ""name"": ""provence""}, {""id"": 2673, ""name"": ""horse""}, {""id"": 4849, ""name"": ""exile""}]",en,Le Hussard sur le toit,"In a time of war and disease, a young officer gallantly tries to help a young woman find her husband.",2.877488,"[{""name"": ""France 2 Cin\u00e9ma"", ""id"": 83}, {""name"": ""Hachette Premi\u00e8re"", ""id"": 582}, {""name"": ""Canal+"", ""id"": 5358}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}]",1995-09-20,15000000,135.0,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,,The Horseman on the Roof,6.7,25
30000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",,11836,"[{""id"": 270, ""name"": ""ocean""}, {""id"": 658, ""name"": ""sea""}, {""id"": 3412, ""name"": ""star""}, {""id"": 4237, ""name"": ""water""}, {""id"": 41337, ""name"": ""freeze""}, {""id"": 204222, ""name"": ""spongebob""}]",en,The SpongeBob SquarePants Movie,"There's trouble brewing in Bikini Bottom. Someone has stolen King Neptune's crown, and it looks like Mr. Krab, SpongeBob's boss, is the culprit. Though he's just been passed over for the promotion of his dreams, SpongeBob stands by his boss, and along with his best pal Patrick, sets out on a treacherous mission to Shell City to reclaim the crown and save Mr. Krab's life.",27.870755,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Nickelodeon Movies"", ""id"": 2348}, {""name"": ""United Plankton Pictures"", ""id"": 8921}, {""name"": ""Paramount Animation"", ""id"": 24955}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-11-14,140161792,87.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Bigger. Better. More absorbent.,The SpongeBob SquarePants Movie,6.7,574
0,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",http://www.kino.com/ajami/,24424,[],he,Ajami,"Ajami is an area of Tel Aviv in Israel where Arabs, Palestinians, Jews and Christians live together in a tense atmosphere. Omar, an Israeli Arab, struggles to save his family from a gang of extortionists. He also courts a beautiful Christian girl: Hadir. Malek, an illegal Palestinian worker, tries to collect enough money to pay for his mother's operation. Dando, an Israeli cop, does his utmost to find his missing brother who may have been killed by Palestinians.",0.51799,"[{""name"": ""ARTE"", ""id"": 5766}, {""name"": ""Inosan"", ""id"": 11631}, {""name"": ""Das Kleine Fernsehspiel (ZDF)"", ""id"": 16053}, {""name"": ""Twenty Twenty Vision Filmproduktion GmbH"", ""id"": 32545}]","[{""iso_3166_1"": ""IL"", ""name"": ""Israel""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",2009-09-17,0,120.0,"[{""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""he"", ""name"": ""\u05e2\u05b4\u05d1\u05b0\u05e8\u05b4\u05d9\u05ea""}]",Released,,Ajami,6.8,27
0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",,18074,"[{""id"": 4344, ""name"": ""musical""}]",en,Duets,"Duets is a road-trip comedy which revolves around the little known world of karaoke and the whimsical characters who inhabit it. All roads lead to Omaha, site of a national karaoke competition where this motley group of singers and stars come together for a blow-out sing-off.",2.25453,"[{""name"": ""Hollywood Pictures"", ""id"": 915}, {""name"": ""Beacon Pictures"", ""id"": 10157}, {""name"": ""Seven Arts Pictures"", ""id"": 14159}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-09-09,0,112.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Six littles souls in search of a little harmony.,Duets,5.5,34
65000,"[{""id"": 99, ""name"": ""Documentary""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",,9372,"[{""id"": 1706, ""name"": ""experiment""}, {""id"": 3721, ""name"": ""health""}, {""id"": 7151, ""name"": ""junk food""}, {""id"": 15178, ""name"": ""food industry""}, {""id"": 157748, ""name"": ""fast food""}, {""id"": 161956, ""name"": ""mcdonald's restaurant""}]",en,Super Size Me,"Morgan Spurlock subjects himself to a diet based only on McDonald's fast food three times a day for thirty days without exercising to try to prove why so many Americans are fat or obese. He submits himself to a complete check-up by three doctors, comparing his weight along the way, resulting in a scary conclusion.",10.400603,"[{""name"": ""Kathbur Pictures"", ""id"": 8735}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-01-17,28575078,100.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The first ever reality-based movie ... everything begins and ends in 30 days!,Super Size Me,6.6,506
93000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",http://www.lordoftherings.net/,120,"[{""id"": 603, ""name"": ""elves""}, {""id"": 604, ""name"": ""dwarves""}, {""id"": 606, ""name"": ""orcs""}, {""id"": 609, ""name"": ""middle-earth (tolkien)""}, {""id"": 611, ""name"": ""hobbit""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1262, ""name"": ""mountains""}, {""id"": 2407, ""name"": ""fireworks""}, {""id"": 3098, ""name"": ""castle""}, {""id"": 3347, ""name"": ""volcano""}, {""id"": 4587, ""name"": ""password""}, {""id"": 4959, ""name"": ""death of a friend""}, {""id"": 6464, ""name"": ""uncle""}, {""id"": 46951, ""name"": ""mirror""}, {""id"": 177912, ""name"": ""wizard""}, {""id"": 234213, ""name"": ""sword and sorcery""}]",en,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",138.049577,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""The Saul Zaentz Company"", ""id"": 5237}]","[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-12-18,871368364,178.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,8.0,8705
12000000,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 80, ""name"": ""Crime""}]",,9762,"[{""id"": 246, ""name"": ""dancing""}, {""id"": 1605, ""name"": ""new love""}, {""id"": 1691, ""name"": ""dance""}, {""id"": 2672, ""name"": ""baltimore""}, {""id"": 8734, ""name"": ""art school""}, {""id"": 187056, ""name"": ""woman director""}]",en,Step Up,"Everyone deserves a chance to follow their dreams, but some people only get one shot. Tyler Gage is a rebel from the wrong side of Baltimore's tracks and the only thing that stands between him and an unfulfilled life are his dreams of one day making it out of there. Nora is a privileged ballet dancer attending Baltimore's ultra-elite Maryland School of the Arts",45.477802,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Offspring Entertainment"", ""id"": 2378}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Eketahuna LLC"", ""id"": 74192}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-08-11,114194847,104.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Every Second Chance Begins With a First Step,Step Up,6.7,1060
150000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",http://www.beemovie.com/,5559,"[{""id"": 730, ""name"": ""factory worker""}, {""id"": 1488, ""name"": ""tennis""}, {""id"": 2382, ""name"": ""flower""}, {""id"": 2778, ""name"": ""florist""}, {""id"": 2779, ""name"": ""flower shop""}, {""id"": 3203, ""name"": ""pilot""}, {""id"": 3616, ""name"": ""college""}, {""id"": 3800, ""name"": ""airplane""}, {""id"": 4247, ""name"": ""beehive""}, {""id"": 6148, ""name"": ""court""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}]",en,Bee Movie,"Barry B. Benson, a bee who has just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue us.",29.332905,"[{""name"": ""Pacific Data Images (PDI)"", ""id"": 520}, {""name"": ""DreamWorks Animation"", ""id"": 521}, {""name"": ""Columbus 81 Productions"", ""id"": 1903}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-10-28,287594577,91.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Born to bee wild.,Bee Movie,5.7,1171
100000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 53, ""name"": ""Thriller""}]",,8665,"[{""id"": 339, ""name"": ""submarine""}, {""id"": 2111, ""name"": ""soviet union""}, {""id"": 4607, ""name"": ""core melt""}, {""id"": 6790, ""name"": ""north atlantic""}, {""id"": 155652, ""name"": ""nuclear""}, {""id"": 187056, ""name"": ""woman director""}]",en,K-19: The Widowmaker,"When Russia's first nuclear submarine malfunctions on its maiden voyage, the crew must race to save the ship and prevent a nuclear disaster.",15.625949,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Intermedia Films"", ""id"": 763}, {""name"": ""National Geographic Society"", ""id"": 2471}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Palomar Pictures (II)"", ""id"": 11371}, {""name"": ""First Light Production"", ""id"": 20344}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-07-19,35168966,138.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Fate has found its hero.,K-19: The Widowmaker,6.1,264
2000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",,10656,"[{""id"": 90, ""name"": ""paris""}, {""id"": 1463, ""name"": ""culture clash""}, {""id"": 1552, ""name"": ""subway""}, {""id"": 1761, ""name"": ""metropolis""}, {""id"": 1936, ""name"": ""blackmail""}, {""id"": 1937, ""name"": ""document""}, {""id"": 15009, ""name"": ""criminal""}, {""id"": 156037, ""name"": ""socialite""}, {""id"": 173919, ""name"": ""punk band""}]",fr,Subway,"Fred, a raffish safe blower, takes refuge in the Paris Metro after being chased by the henchmen of a shady businessman from whom he has just stolen some documents. While hiding out in the back rooms and conduits of the Metro, Fred encounters a subterranean society of eccentric characters and petty criminals. Despite being pursued by the henchmen, Fred finds the time to flirt with Héléna, blow a safe, rob a train, evade the hapless Metro police, and start a rock band",5.261065,"[{""name"": ""Gaumont"", ""id"": 9}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}]",1985-04-10,390659,104.0,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,An underground story where lives intertwine,Subway,6.3,86
